Ticker,Sector,MarketCap,ROE,DER,NPM
AADI,Energy,"58,4E+12","20,7E+0","61,0E-2","21,7E+0"
AALI,Consumer Non-Cyclicals,"14,6E+12","6,0E+0","18,0E-2","6,4E+0"
ABBA,Consumer Cyclicals,"21,6E+10",,"-4,2E+0","-4,5E+0"
ABDA,Financials,"1,7E+12","6,3E+0","69,0E-2","12,4E+0"
ABMM,Industrials,"8,0E+12","8,8E+0","1,4E+0","9,7E+0"
ACES,Consumer Cyclicals,"7,2E+12","12,4E+0","27,0E-2","12,6E+0"
ACRO,Consumer Cyclicals,"30,5E+10","4,8E+0","26,0E-2","29,3E+0"
ACST,Infrastructures,"2,5E+12","-1,4E+2","13,8E+0","-20,1E+0"
ADCP,Properties & Real Estate,"1,2E+12","29,0E-2","1,7E+0","4,7E+0"
ADES,Consumer Non-Cyclicals,"9,1E+12","24,2E+0","19,0E-2","36,0E+0"
ADHI,Infrastructures,"2,1E+12","1,9E+0","2,5E+0","3,3E+0"
ADMF,Financials,"10,8E+12","10,6E+0","1,8E+0","21,1E+0"
ADMG,Basic Materials,"62,6E+10","-4,3E+0","38,0E-2","-4,8E+0"
ADMR,Energy,"51,9E+12","19,6E+0","60,0E-2","48,1E+0"
ADRO,Energy,"53,2E+12","11,0E+0","28,0E-2","41,9E+0"
AEGS,Consumer Cyclicals,"7,6E+10","87,0E-2","8,0E-2","4,5E+0"
AGAR,Consumer Non-Cyclicals,"24,0E+10","1,9E+0","95,0E-2","1,3E+0"
AGII,Basic Materials,"4,8E+12","2,2E+0","1,1E+0","3,8E+0"
AGRO,Financials,"5,6E+12","1,7E+0","2,9E+0","6,6E+0"
AGRS,Financials,"3,7E+12","3,6E+0","2,9E+0","18,7E+0"
AHAP,Financials,"45,6E+10","-1,1E+0","4,5E+0","-36,0E-2"
AIMS,Energy,"8,4E+10","-4,8E+2","25,3E+0","-62,2E+0"
AISA,Consumer Non-Cyclicals,"1,4E+12","8,3E+0","84,0E-2","6,4E+0"
AKKU,Consumer Cyclicals,"24,5E+10","-2,3E+0","67,0E-2","-1,8E+2"
AKPI,Basic Materials,"35,2E+10","39,0E-2","1,1E+0","32,0E-2"
AKRA,Energy,"24,9E+12","16,5E+0","1,3E+0","7,4E+0"
AKSI,Transportation & Logistic,"34,1E+10","-5,9E+0","74,0E-2","-2,9E+0"
ALDO,Basic Materials,"1,7E+12","29,0E-2","95,0E-2","19,0E-2"
ALII,Energy,"9,4E+12","17,9E+0","33,0E-2","48,8E+0"
ALKA,Basic Materials,"18,3E+10","-2,4E+0","6,0E-2","-4,8E+0"
ALMI,Basic Materials,"28,2E+10","-2,1E+2","3,6E+0","-1,6E+4"
ALTO,Consumer Non-Cyclicals,"3,9E+10","-14,3E+0","2,1E+0","-71,9E+0"
AMAG,Financials,"1,9E+12","10,2E+0","1,8E+0","9,4E+0"
AMAN,Properties & Real Estate,"70,1E+10","7,5E+0","77,0E-2","33,6E+0"
AMAR,Financials,"4,2E+12","7,0E+0","62,0E-2","22,5E+0"
AMFG,Industrials,"1,4E+12","3,0E+0","59,0E-2","3,8E+0"
AMIN,Industrials,"27,6E+10","11,1E+0","43,0E-2","7,9E+0"
